ACC,NPV,PPV,SEN,SPC,config,cost_matrix,error
0.75,0.75,0.75,0.75,0.75,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",15.0,
0.875,0.8,1.0,0.75,1.0,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",10.0,
0.75,0.7,0.833333333333,0.625,0.875,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",17.5,
0.75,0.75,0.75,0.75,0.75,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",15.0,
0.8125,0.727272727273,1.0,0.625,1.0,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",15.0,
0.75,0.833333333333,0.7,0.875,0.625,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",12.5,
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",12.5,
0.875,0.875,0.875,0.875,0.875,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",7.5,
0.722222222222,0.642857142857,1.0,0.444444444444,1.0,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""Ascites""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",25.0,
0.625,0.75,0.583333333333,0.875,0.375,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""Ascites""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",17.5,
0.75,0.75,0.75,0.75,0.75,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""Ascites""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",15.0,
0.875,0.8,1.0,0.75,1.0,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""Ascites""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",10.0,
0.75,0.7,0.833333333333,0.625,0.875,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""Ascites""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",17.5,
0.75,0.75,0.75,0.75,0.75,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""Ascites""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",15.0,
0.8125,0.727272727273,1.0,0.625,1.0,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""Ascites""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",15.0,
0.75,0.833333333333,0.7,0.875,0.625,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""Ascites""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",12.5,
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""Ascites""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",12.5,
0.875,0.875,0.875,0.875,0.875,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""Ascites""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.1, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",7.5,
0.833333333333,0.75,1.0,0.666666666667,1.0,"{""x_features"": [""Color"", ""log_Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",15.0,
0.6875,0.8,0.636363636364,0.875,0.5,"{""x_features"": [""Color"", ""log_Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",15.0,
0.75,0.75,0.75,0.75,0.75,"{""x_features"": [""Color"", ""log_Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",15.0,
1.0,1.0,1.0,1.0,1.0,"{""x_features"": [""Color"", ""log_Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",0.0,
0.875,0.875,0.875,0.875,0.875,"{""x_features"": [""Color"", ""log_Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",7.5,
0.75,0.75,0.75,0.75,0.75,"{""x_features"": [""Color"", ""log_Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",15.0,
0.875,0.8,1.0,0.75,1.0,"{""x_features"": [""Color"", ""log_Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",10.0,
0.8125,0.857142857143,0.777777777778,0.875,0.75,"{""x_features"": [""Color"", ""log_Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",10.0,
0.9375,1.0,0.888888888889,1.0,0.875,"{""x_features"": [""Color"", ""log_Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",2.5,
0.9375,1.0,0.888888888889,1.0,0.875,"{""x_features"": [""Color"", ""log_Ca125"", ""APapDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",2.5,
0.722222222222,0.642857142857,1.0,0.444444444444,1.0,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",25.0,
0.625,0.75,0.583333333333,0.875,0.375,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",17.5,
0.75,0.75,0.75,0.75,0.75,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",15.0,
0.875,0.8,1.0,0.75,1.0,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",10.0,
0.75,0.7,0.833333333333,0.625,0.875,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",17.5,
0.75,0.75,0.75,0.75,0.75,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",15.0,
0.8125,0.727272727273,1.0,0.625,1.0,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",15.0,
0.75,0.833333333333,0.7,0.875,0.625,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",12.5,
0.8125,0.777777777778,0.857142857143,0.75,0.875,"{""x_features"": [""Color"", ""log_Ca125"", ""ASolidDimension"", ""AgeAfterMenopause"", ""PapBloodFlow""], ""denoising_cost_x"": [0.0001, 0.001, 1], ""f_local_noise_std"": 0.1, ""super_noise_std"": 0.2, ""batch_size"": 50, ""act"": ""relu"", ""lrate_decay"": 0.67, ""seed"": 1, ""lr"": 0.002, ""num_epochs"": 400, ""zestbn"": ""bugfix"", ""encoder_layers"": [5, 3, 3], ""top_c"": true, ""decoder_spec"": ""comparison_g4""}",12.5,
